"SampleID","sample.id","synis.id","gear","cruise","station","vessel","year","month","day","pos.start.n","pos.start.w","pos.end.n","pos.end.w","depth.start","depth.end","stat.square","towlength","townumber","species","number","length","sex","maturity","age","ungutted","gutted","gonads","liver"
"18_024_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,23,100,1,4,10,"10390","8510","171","799"
"18_025_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,24,109,2,4,11,"11720","9740","260","952"
"18_026_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,25,95,2,4,9,"7955","6315","203","779"
"18_027_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,26,89,1,4,9,"6420","5132","111","647"
"18_028_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,27,102,2,4,11,"9285","7560","194","519"
"18_029_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,28,99,1,4,10,"9420","7780","191","818"
"18_030_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,29,106,1,4,13,"12245","10140","315","1017"
"18_031_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,30,95,1,4,8,"7435","6280","103","532"
"18_032_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,31,83,1,2,6,"4882","4160","83","325"
"18_033_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,32,92,2,4,9,"6890","5532","128","719"
"18_034_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,33,89,1,4,9,"6380","5114","122","630"
"18_035_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,35,90,1,2,9,"6320","5222","124","490"
"18_036_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,36,84,1,4,6,"5806","4866","101","481"
"18_037_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,38,95,2,4,9,"8350","7035","178","593"
"18_038_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,39,88,1,2,8,"5196","4158","120","236"
"18_039_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,40,79,2,4,9,"5372","4206","84","501"
"18_040_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,42,92,2,4,6,"6235","5248","97","469"
"18_041_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,43,70,1,2,6,"3278","2690","32","325"
"18_042_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,45,91,1,2,7,"6720","5678","197","505"
"18_043_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,46,94,1,2,8,"7540","5778","290","572"
"18_044_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,47,97,2,4,8,"9230","7545","156","842"
"18_045_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,49,77,1,2,9,"4180","3382","104","421"
"18_046_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,50,96,2,4,7,"6945","5698","115","392"
"18_047_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,34,86,2,4,6,"6275","5072","111","588"
"18_048_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,37,93,2,4,8,"6035","4996","116","498"
"18_049_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,41,91,1,2,NA,"7855","6650","186","574"
"18_050_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,44,77,2,4,7,"3754","3064","66","349"
"18_051_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,48,103,2,4,8,"11280","8725","260","1023"
"18_052_Gm",21229,702,NA,NA,1469,NA,2018,10,NA,65.67783333,-21.52166667,65.66866667,-21.446,99,142,NA,NA,NA,NA,6,90,1,1,NA,"5840","5390",NA,"160"
"18_053_Gm",21230,702,NA,NA,1469,NA,2018,10,NA,65.67783333,-21.52166667,65.66866667,-21.446,99,142,NA,NA,NA,NA,7,89,2,4,NA,"6700","5930",NA,"270"
"18_054_Gm",21231,702,NA,NA,1469,NA,2018,10,NA,65.67783333,-21.52166667,65.66866667,-21.446,99,142,NA,NA,NA,NA,8,73,1,4,NA,"3860","3230",NA,"125"
"18_055_Gm",21232,702,NA,NA,1469,NA,2018,10,NA,65.67783333,-21.52166667,65.66866667,-21.446,99,142,NA,NA,NA,NA,9,85,2,1,NA,"5445","4935",NA,"170"
"18_056_Gm",21233,702,NA,NA,1469,NA,2018,10,NA,65.67783333,-21.52166667,65.66866667,-21.446,99,142,NA,NA,NA,NA,10,78,2,4,NA,"4430","3940",NA,"175"
"18_057_Gm",21236,702,NA,NA,1469,NA,2018,10,NA,65.67783333,-21.52166667,65.66866667,-21.446,99,142,NA,NA,NA,NA,11,85,2,1,NA,"5995","5025",NA,"310"
"18_058_Gm",21246,702,NA,NA,1469,NA,2018,10,NA,65.67783333,-21.52166667,65.66866667,-21.446,99,142,NA,NA,NA,NA,12,76,1,1,NA,"3905","3565",NA,"85"
"18_059_Gm",21262,702,NA,NA,1469,NA,2018,10,NA,65.67783333,-21.52166667,65.66866667,-21.446,99,142,NA,NA,NA,NA,13,81,2,1,NA,"4910","4420",NA,"135"
"18_060_Gm",21272,702,NA,NA,1469,NA,2018,10,NA,65.67783333,-21.52166667,65.66866667,-21.446,99,142,NA,NA,NA,NA,14,89,2,1,NA,"6405","5535",NA,"335"
"18_061_Gm",22017,703,NA,NA,1470,NA,2018,10,NA,65.66516667,-21.376,65.6785,-21.305,145,97,NA,NA,NA,NA,6,87,2,1,NA,"6165","5135",NA,"280"
"18_062_Gm",22018,703,NA,NA,1470,NA,2018,10,NA,65.66516667,-21.376,65.6785,-21.305,145,97,NA,NA,NA,NA,7,90,2,4,NA,"6685","5965",NA,"365"
"18_063_Gm",22019,703,NA,NA,1470,NA,2018,10,NA,65.66516667,-21.376,65.6785,-21.305,145,97,NA,NA,NA,NA,8,103,2,4,NA,"11595","9570",NA,"680"
"18_064_Gm",29517,685,NA,NA,1455,NA,2018,10,NA,65.4645,-21.033,65.43266667,-21.01333333,85,84,NA,NA,NA,NA,6,73,2,1,NA,"3353","3002",NA,"84"
"18_065_Gm",29518,685,NA,NA,1455,NA,2018,10,NA,65.4645,-21.033,65.43266667,-21.01333333,85,84,NA,NA,NA,NA,7,65,2,4,NA,"2564","2267",NA,"110"
"18_066_Gm",29519,685,NA,NA,1455,NA,2018,10,NA,65.4645,-21.033,65.43266667,-21.01333333,85,84,NA,NA,NA,NA,8,62,1,4,NA,"2084","1815",NA,"81"
"18_067_Gm",29520,685,NA,NA,1455,NA,2018,10,NA,65.4645,-21.033,65.43266667,-21.01333333,85,84,NA,NA,NA,NA,9,65,1,1,NA,"2435","2225",NA,"33"
"18_068_Gm",30055,687,NA,NA,1458,NA,2018,10,NA,65.45583333,-21.01,65.42366667,-20.9995,86,84,NA,NA,NA,NA,6,80,1,4,NA,"4733","4250",NA,"144"
"18_069_Gm",30056,687,NA,NA,1458,NA,2018,10,NA,65.45583333,-21.01,65.42366667,-20.9995,86,84,NA,NA,NA,NA,7,75,1,4,NA,"3872","3368",NA,"116"
"18_070_Gm",30057,687,NA,NA,1458,NA,2018,10,NA,65.45583333,-21.01,65.42366667,-20.9995,86,84,NA,NA,NA,NA,8,104,2,4,NA,"11995","9560",NA,"565"
"18_071_Gm",30058,687,NA,NA,1458,NA,2018,10,NA,65.45583333,-21.01,65.42366667,-20.9995,86,84,NA,NA,NA,NA,9,80,1,4,NA,"4395","3930",NA,"125"
"18_072_Gm",30059,687,NA,NA,1458,NA,2018,10,NA,65.45583333,-21.01,65.42366667,-20.9995,86,84,NA,NA,NA,NA,10,68,2,4,NA,"2705","2455",NA,"85"
"18_073_Gm",30060,687,NA,NA,1458,NA,2018,10,NA,65.45583333,-21.01,65.42366667,-20.9995,86,84,NA,NA,NA,NA,11,61,2,1,NA,"2175","1935",NA,"110"
"18_074_Gm",30505,688,NA,NA,1460,NA,2018,10,NA,65.50833333,-21.04266667,65.541,-21.04066667,96,92,NA,NA,NA,NA,6,80,2,1,NA,"5612","4305",NA,"181"
"18_075_Gm",30506,688,NA,NA,1460,NA,2018,10,NA,65.50833333,-21.04266667,65.541,-21.04066667,96,92,NA,NA,NA,NA,7,90,2,4,NA,"7620","6505",NA,"340"
"18_076_Gm",31060,689,NA,NA,1461,NA,2018,10,NA,65.55166667,-21.08466667,65.58433333,-21.07583333,117,125,NA,NA,NA,NA,6,79,2,1,NA,"5341","4458",NA,"206"
"18_077_Gm",31076,689,NA,NA,1461,NA,2018,10,NA,65.55166667,-21.08466667,65.58433333,-21.07583333,117,125,NA,NA,NA,NA,7,87,2,1,NA,"5601","4919",NA,"130"
"18_078_Gm",31642,686,NA,NA,1456,NA,2018,10,NA,65.43983333,-21.02116667,65.40833333,-21.003,73,67,NA,NA,NA,NA,6,60,1,1,NA,"2072","1890",NA,"62"
"18_079_Gm",31643,686,NA,NA,1456,NA,2018,10,NA,65.43983333,-21.02116667,65.40833333,-21.003,73,67,NA,NA,NA,NA,7,56,1,1,NA,"1322","1220",NA,"27"
"18_080_Gm",31644,686,NA,NA,1456,NA,2018,10,NA,65.43983333,-21.02116667,65.40833333,-21.003,73,67,NA,NA,NA,NA,8,60,1,4,NA,"2154","1921",NA,"85"
"18_081_Gm",31645,686,NA,NA,1456,NA,2018,10,NA,65.43983333,-21.02116667,65.40833333,-21.003,73,67,NA,NA,NA,NA,9,58,2,1,NA,"1716","1531",NA,"55"
"18_082_Gm",31646,686,NA,NA,1456,NA,2018,10,NA,65.43983333,-21.02116667,65.40833333,-21.003,73,67,NA,NA,NA,NA,10,63,1,4,NA,"2221","2025",NA,"63"
"18_083_Gm",31647,686,NA,NA,1456,NA,2018,10,NA,65.43983333,-21.02116667,65.40833333,-21.003,73,67,NA,NA,NA,NA,11,58,2,1,NA,"1838","1631",NA,"93"
"18_084_Gm",31648,686,NA,NA,1456,NA,2018,10,NA,65.43983333,-21.02116667,65.40833333,-21.003,73,67,NA,NA,NA,NA,12,57,1,4,NA,"1739","1512",NA,"79"
"18_085_Gm",31649,686,NA,NA,1456,NA,2018,10,NA,65.43983333,-21.02116667,65.40833333,-21.003,73,67,NA,NA,NA,NA,13,59,2,1,NA,"1829","1622",NA,"74"
"18_086_Gm",31650,686,NA,NA,1456,NA,2018,10,NA,65.43983333,-21.02116667,65.40833333,-21.003,73,67,NA,NA,NA,NA,14,76,1,4,NA,"4703","3997",NA,"243"
"18_087_Gm",31651,686,NA,NA,1456,NA,2018,10,NA,65.43983333,-21.02116667,65.40833333,-21.003,73,67,NA,NA,NA,NA,15,73,2,1,NA,"3625","3061",NA,"188"
"18_088_Gm",32119,690,NA,NA,1462,NA,2018,10,NA,65.59733333,-21.09266667,65.62983333,-21.10216667,107,120,NA,NA,NA,NA,6,91,2,4,NA,"7605","6855",NA,"325"
"18_089_Gm",32120,690,NA,NA,1462,NA,2018,10,NA,65.59733333,-21.09266667,65.62983333,-21.10216667,107,120,NA,NA,NA,NA,7,81,2,1,NA,"4875","4380",NA,"155"
"18_090_Gm",32121,690,NA,NA,1462,NA,2018,10,NA,65.59733333,-21.09266667,65.62983333,-21.10216667,107,120,NA,NA,NA,NA,8,84,2,1,NA,"5100","4615",NA,"165"
"18_091_Gm",32122,690,NA,NA,1462,NA,2018,10,NA,65.59733333,-21.09266667,65.62983333,-21.10216667,107,120,NA,NA,NA,NA,9,99,2,4,NA,"9740","8400",NA,"330"
"18_092_Gm",32123,690,NA,NA,1462,NA,2018,10,NA,65.59733333,-21.09266667,65.62983333,-21.10216667,107,120,NA,NA,NA,NA,10,75,2,1,NA,"4135","3620",NA,"150"
"18_093_Gm",32124,690,NA,NA,1462,NA,2018,10,NA,65.59733333,-21.09266667,65.62983333,-21.10216667,107,120,NA,NA,NA,NA,11,61,2,1,NA,"1805","1645",NA,"55"
"18_094_Gm",32125,690,NA,NA,1462,NA,2018,10,NA,65.59733333,-21.09266667,65.62983333,-21.10216667,107,120,NA,NA,NA,NA,12,84,2,1,NA,"4870","4205",NA,"160"
"18_095_Gm",32126,690,NA,NA,1462,NA,2018,10,NA,65.59733333,-21.09266667,65.62983333,-21.10216667,107,120,NA,NA,NA,NA,13,88,2,4,NA,"6230","5510",NA,"175"
"18_096_Gm",32127,690,NA,NA,1462,NA,2018,10,NA,65.59733333,-21.09266667,65.62983333,-21.10216667,107,120,NA,NA,NA,NA,14,121,1,4,NA,"20260","17460",NA,"1300"
"18_097_Gm",33702,691,NA,NA,1463,NA,2018,10,NA,65.65016667,-21.07933333,65.61733333,-21.07,137,130,NA,NA,NA,NA,6,83,2,1,NA,"5023","4558",NA,"105"
"18_098_Gm",33718,691,NA,NA,1463,NA,2018,10,NA,65.65016667,-21.07933333,65.61733333,-21.07,137,130,NA,NA,NA,NA,7,86,1,4,NA,"5620","5135",NA,"175"
"18_099_Gm",33740,691,NA,NA,1463,NA,2018,10,NA,65.65016667,-21.07933333,65.61733333,-21.07,137,130,NA,NA,NA,NA,8,83,2,1,NA,"5800","5060",NA,"85"
"18_100_Gm",33772,691,NA,NA,1463,NA,2018,10,NA,65.65016667,-21.07933333,65.61733333,-21.07,137,130,NA,NA,NA,NA,9,94,1,4,NA,"6835","6115",NA,"285"
"18_101_Gm",33784,691,NA,NA,1463,NA,2018,10,NA,65.65016667,-21.07933333,65.61733333,-21.07,137,130,NA,NA,NA,NA,10,87,2,4,NA,"6245","5560",NA,"240"
"18_102_Gm",487491,35,78,"A12-2018",622,2350,2018,10,25,673879,193529,674089,192993,419,436,769,"3",2,1,1,87,2,2,7,"5882","4658","127","528"
"18_103_Gm",487491,35,78,"A12-2018",622,2350,2018,10,25,673879,193529,674089,192993,419,436,769,"3",2,1,2,72,1,2,7,"3308","2699","34","291"
"18_104_Gm",487491,35,78,"A12-2018",622,2350,2018,10,25,673879,193529,674089,192993,419,436,769,"3",2,1,3,80,2,2,7,"4598","3624","70","344.9"
"18_105_Gm",487491,35,78,"A12-2018",622,2350,2018,10,25,673879,193529,674089,192993,419,436,769,"3",2,1,4,80,2,2,6,"4785.9","3788","75","502"
"18_106_Gm",487491,35,78,"A12-2018",622,2350,2018,10,25,673879,193529,674089,192993,419,436,769,"3",2,1,5,70,2,1,5,"3356","2584",NA,"237"
"18_107_Gm",487498,35,78,"A12-2018",630,2350,2018,10,26,671285,181795,671299,181032,467,476,718,"3",2,1,1,88,1,2,6,"5206","4372","62","242"
"18_108_Gm",487498,35,78,"A12-2018",630,2350,2018,10,26,671285,181795,671299,181032,467,476,718,"3",2,1,2,77,1,2,6,"3444","2804","86.9","274"
"18_109_Gm",487498,35,78,"A12-2018",630,2350,2018,10,26,671285,181795,671299,181032,467,476,718,"3",2,1,3,68,1,1,5,"2455","2125",NA,"154"
"18_110_Gm",487498,35,78,"A12-2018",630,2350,2018,10,26,671285,181795,671299,181032,467,476,718,"3",2,1,4,101,2,52,9,"8425","7180","141.9","510"
"18_111_Gm",487498,35,78,"A12-2018",630,2350,2018,10,26,671285,181795,671299,181032,467,476,718,"3",2,1,5,89,1,2,7,"5930","4962","58","461"
"18_112_Gm",487498,35,78,"A12-2018",630,2350,2018,10,26,671285,181795,671299,181032,467,476,718,"3",2,1,6,87,2,52,7,"5194","4312","96","343"
"18_113_Gm",487498,35,78,"A12-2018",630,2350,2018,10,26,671285,181795,671299,181032,467,476,718,"3",2,1,7,94,2,2,8,"6500","5460","117","374"
"18_114_Gm",487498,35,78,"A12-2018",630,2350,2018,10,26,671285,181795,671299,181032,467,476,718,"3",2,1,8,73,1,1,6,"3206","2729",NA,"201"
"18_115_Gm",487499,35,78,"A12-2018",631,2350,2018,10,26,670974,175087,670973,174340,391,370,717,"3",21,1,16,66,1,1,5,"2505.9","2142.9",NA,"127"
"18_116_Gm",487499,35,78,"A12-2018",631,2350,2018,10,26,670974,175087,670973,174340,391,370,717,"3",21,1,17,96,2,2,7,"9590","7855","171.9","927"
"18_117_Gm",487499,35,78,"A12-2018",631,2350,2018,10,26,670974,175087,670973,174340,391,370,717,"3",21,1,18,67,2,1,6,"2879","2334",NA,"285.9"
"18_118_Gm",487499,35,78,"A12-2018",631,2350,2018,10,26,670974,175087,670973,174340,391,370,717,"3",21,1,19,62,1,1,5,"2114","1758",NA,"159"
"18_119_Gm",487499,35,78,"A12-2018",631,2350,2018,10,26,670974,175087,670973,174340,391,370,717,"3",21,1,20,76,2,1,6,"4120","3416",NA,"363"
"18_120_Gm",487499,35,78,"A12-2018",631,2350,2018,10,26,670974,175087,670973,174340,391,370,717,"3",21,1,21,64,1,1,4,"2361","1975",NA,"157"
"18_121_Gm",487499,35,78,"A12-2018",631,2350,2018,10,26,670974,175087,670973,174340,391,370,717,"3",21,1,22,66,2,1,5,"2616","2194",NA,"125"
"18_122_Gm",487499,35,78,"A12-2018",631,2350,2018,10,26,670974,175087,670973,174340,391,370,717,"3",21,1,23,91,2,2,9,"7280","5926",NA,"508"
"18_123_Gm",487499,35,78,"A12-2018",631,2350,2018,10,26,670974,175087,670973,174340,391,370,717,"3",21,1,24,100,1,2,9,"7890","6465","301","309"
"18_124_Gm",487499,35,78,"A12-2018",631,2350,2018,10,26,670974,175087,670973,174340,391,370,717,"3",21,1,25,83,1,1,7,"4024","3456",NA,"236"
"18_125_Gm",487504,35,78,"A12-2018",636,2350,2018,10,26,670939,163705,671026,163007,382,393,716,"3",21,1,1,80,2,1,7,"4702","3846",NA,"405"
"18_126_Gm",487504,35,78,"A12-2018",636,2350,2018,10,26,670939,163705,671026,163007,382,393,716,"3",21,1,2,99,2,2,9,"7675","6505","128","368"
"18_127_Gm",487504,35,78,"A12-2018",636,2350,2018,10,26,670939,163705,671026,163007,382,393,716,"3",21,1,3,91,2,2,7,"6765","5352","106","415"
"18_128_Gm",487504,35,78,"A12-2018",636,2350,2018,10,26,670939,163705,671026,163007,382,393,716,"3",21,1,4,102,2,2,10,"9315","7525","189","606"
"18_129_Gm",487504,35,78,"A12-2018",636,2350,2018,10,26,670939,163705,671026,163007,382,393,716,"3",21,1,5,93,2,2,8,"6985","5690",NA,"404"
"18_130_Gm",487505,35,78,"A12-2018",637,2350,2018,10,27,671463,161431,671579,160764,360,379,716,"3",1,1,6,99,2,51,8,"7790","6210","88","627"
"18_131_Gm",487505,35,78,"A12-2018",637,2350,2018,10,27,671463,161431,671579,160764,360,379,716,"3",1,1,7,77,1,1,7,"3784","3214",NA,"171.9"
"18_132_Gm",487505,35,78,"A12-2018",637,2350,2018,10,27,671463,161431,671579,160764,360,379,716,"3",1,1,8,91,2,2,8,"7545","5952","168","575"
"18_133_Gm",487505,35,78,"A12-2018",637,2350,2018,10,27,671463,161431,671579,160764,360,379,716,"3",1,1,9,93,1,2,8,"7345","5924","84","445"
"18_134_Gm",487505,35,78,"A12-2018",637,2350,2018,10,27,671463,161431,671579,160764,360,379,716,"3",1,1,10,71,2,1,6,"3096","2666.9",NA,"99"
"18_135_Gm",487505,35,78,"A12-2018",637,2350,2018,10,27,671463,161431,671579,160764,360,379,716,"3",1,1,11,92,1,2,9,"6715","5490","162","565.9"
"18_136_Gm",487505,35,78,"A12-2018",637,2350,2018,10,27,671463,161431,671579,160764,360,379,716,"3",1,1,12,85,1,2,7,"5614","4452","76","231"
"18_137_Gm",487505,35,78,"A12-2018",637,2350,2018,10,27,671463,161431,671579,160764,360,379,716,"3",1,1,13,68,2,1,5,"2251","2009",NA,"89"
"18_138_Gm",487510,35,78,"A12-2018",642,2350,2018,10,27,671213,142556,671025,141976,455,453,714,"3",21,1,6,93,2,2,8,"6760","5746","110","421"
"18_139_Gm",487510,35,78,"A12-2018",642,2350,2018,10,27,671213,142556,671025,141976,455,453,714,"3",21,1,7,84,1,2,7,"5210","4590","72","302"
"18_140_Gm",487510,35,78,"A12-2018",642,2350,2018,10,27,671213,142556,671025,141976,455,453,714,"3",21,1,8,72,2,1,7,"3164","2649",NA,"280"
"18_141_Gm",487510,35,78,"A12-2018",642,2350,2018,10,27,671213,142556,671025,141976,455,453,714,"3",21,1,9,70,1,1,6,"2770","2383",NA,"225"
"18_142_Gm",487510,35,78,"A12-2018",642,2350,2018,10,27,671213,142556,671025,141976,455,453,714,"3",21,1,10,96,2,52,11,"8470","6750","135","727"
"18_143_Gm",487510,35,78,"A12-2018",642,2350,2018,10,27,671213,142556,671025,141976,455,453,714,"3",21,1,11,68,2,1,6,"2367","2086",NA,"89"
"18_144_Gm",487510,35,78,"A12-2018",642,2350,2018,10,27,671213,142556,671025,141976,455,453,714,"3",21,1,12,80,1,2,6,"4122","3550","21","238"
"18_145_Gm",487510,35,78,"A12-2018",642,2350,2018,10,27,671213,142556,671025,141976,455,453,714,"3",21,1,13,80,1,1,6,"3448","2851",NA,"302"
"18_146_Gm",487510,35,78,"A12-2018",642,2350,2018,10,27,671213,142556,671025,141976,455,453,714,"3",21,1,14,83,1,2,6,"5075.9","4250","48","352"
"18_147_Gm",487510,35,78,"A12-2018",642,2350,2018,10,27,671213,142556,671025,141976,455,453,714,"3",21,1,15,69,2,1,7,"2879","2365",NA,"201"
"18_148_Gm",487510,35,78,"A12-2018",642,2350,2018,10,27,671213,142556,671025,141976,455,453,714,"3",21,1,16,70,1,1,6,"3066","2595",NA,"166"
"18_149_Gm",487511,35,78,"A12-2018",643,2350,2018,10,27,670299,135832,670082,135328,403,403,713,"3",1,1,1,73,2,1,6,"3202","2693",NA,"247"
"18_150_Gm",487511,35,78,"A12-2018",643,2350,2018,10,27,670299,135832,670082,135328,403,403,713,"3",1,1,2,94,2,2,7,"7320","6015","132","561"
"18_151_Gm",487511,35,78,"A12-2018",643,2350,2018,10,27,670299,135832,670082,135328,403,403,713,"3",1,1,3,100,2,2,9,"9590","7675","222","744"
"18_152_Gm",1,488887,NA,"NYT1-2018",1,1755,2018,12,5,641617,221840,NA,NA,62,NA,NA,NA,NA,1,1,102,1,2,NA,"7180",NA,"490","50"
"18_153_Gm",2,488887,NA,"NYT1-2018",1,1755,2018,12,5,641617,221840,NA,NA,62,NA,NA,NA,NA,1,2,106,1,2,NA,"15920",NA,"730","290"
"18_154_Gm",3,488887,NA,"NYT1-2018",1,1755,2018,12,5,641617,221840,NA,NA,62,NA,NA,NA,NA,1,3,95,2,4,NA,"9620",NA,"50","350"
