"synis.id";"synaflokkur";"veidarfaeri";"dags";"leidangur";"stod";"skip";"ar";"man";"dag";"kastad.n.breidd";"kastad.v.lengd";"hift.n.breidd";"hift.v.lengd";"dypi.kastad";"dypi.hift";"reitur";"smareitur";"toglengd";"tognumer";"tegund";"nr";"lengd";"kyn";"kynthroski";"aldur";"oslaegt";"slaegt";"kynfaeri";"lifur"
"33";488888;99;1;2018-12-07;"NYT2-2018";1;2468;"2018";"12";"07";640168;225691;NA;NA;68;NA;422;3;NA;NA;1;23;60;1;1;NA;1927;1811;NA;15
"34";488888;99;1;2018-12-07;"NYT2-2018";1;2468;"2018";"12";"07";640168;225691;NA;NA;68;NA;422;3;NA;NA;1;24;95;2;2;NA;7885;6860;99;473
"35";488888;99;1;2018-12-07;"NYT2-2018";1;2468;"2018";"12";"07";640168;225691;NA;NA;68;NA;422;3;NA;NA;1;25;104;1;3;NA;9925;8560;294;530
"36";488888;99;1;2018-12-07;"NYT2-2018";1;2468;"2018";"12";"07";640168;225691;NA;NA;68;NA;422;3;NA;NA;1;26;60;1;1;NA;1855;1726;NA;16
"37";488888;99;1;2018-12-07;"NYT2-2018";1;2468;"2018";"12";"07";640168;225691;NA;NA;68;NA;422;3;NA;NA;1;27;77;1;1;NA;4734;4366;NA;104
"38";488888;99;1;2018-12-07;"NYT2-2018";1;2468;"2018";"12";"07";640168;225691;NA;NA;68;NA;422;3;NA;NA;1;28;69;1;3;NA;3143;2737;167;108
"39";488888;99;1;2018-12-07;"NYT2-2018";1;2468;"2018";"12";"07";640168;225691;NA;NA;68;NA;422;3;NA;NA;1;29;54;1;3;NA;1586;1414;25;35
"40";488888;99;1;2018-12-07;"NYT2-2018";1;2468;"2018";"12";"07";640168;225691;NA;NA;68;NA;422;3;NA;NA;1;30;79;1;3;NA;4990;4259;386;130
"41";488888;99;1;2018-12-07;"NYT2-2018";1;2468;"2018";"12";"07";640168;225691;NA;NA;68;NA;422;3;NA;NA;1;31;60;1;1;NA;1971;1826;NA;40
"42";488888;99;1;2018-12-07;"NYT2-2018";1;2468;"2018";"12";"07";640168;225691;NA;NA;68;NA;422;3;NA;NA;1;32;71;1;1;NA;3224;3001;NA;53
"43";488888;99;1;2018-12-07;"NYT2-2018";1;2468;"2018";"12";"07";640168;225691;NA;NA;68;NA;422;3;NA;NA;1;33;107;2;4;NA;13140;10090;315;522
